S.No,Year_Birth,Education,Marital_Status,Income,Kidhome,Teenhome,Dt_Customer,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Response,Complain,Country,Age,Purchases,MntTotal
12,1959,PhD,Single,67786.0,0,0,12-07-2013,0,431,82,441,80,20,102,1,3,6,6,1,0,0,0,0,0,1,0,IND,62,16,1156
13,1981,Graduation,Married,26872.0,0,0,10/16/13,0,3,10,8,3,16,32,1,1,1,2,6,0,0,0,0,0,0,0,CA,40,5,72
14,1969,Graduation,Married,4428.0,0,1,10-05-2013,0,16,4,12,2,4,321,0,25,0,0,1,0,0,0,0,0,0,0,SP,52,25,359
15,1977,Graduation,Married,54809.0,1,1,09-11-2013,0,63,6,57,13,13,22,4,2,1,5,4,0,0,0,0,0,0,0,SP,44,12,174
16,1977,Graduation,Married,54809.0,1,1,09-11-2013,0,63,6,57,13,13,22,4,2,1,5,4,0,0,0,0,0,1,0,SP,44,12,174
17,1958,PhD,Single,32173.0,0,1,08-01-2013,0,18,0,2,0,0,2,1,1,0,3,4,0,0,0,0,0,0,0,SP,63,5,22
18,1960,Master,Single,47823.0,0,1,7/23/13,0,53,1,5,2,1,10,2,2,0,3,8,0,0,0,0,0,0,0,CA,61,7,72
19,1958,Master,Single,30523.0,2,1,07-01-2013,0,5,0,3,0,0,5,1,1,0,2,7,0,0,0,0,0,0,0,CA,63,4,13
20,1954,Master,Married,36634.0,0,1,5/28/13,0,213,9,76,4,3,30,3,5,2,5,7,0,0,0,0,0,0,0,SA,67,15,335
21,1966,Master,Single,43456.0,0,1,3/26/13,0,275,11,68,25,7,7,3,5,1,8,5,0,0,0,0,0,0,0,IND,55,17,393
22,1979,Master,Married,40662.0,1,0,3/15/13,0,40,2,23,0,4,23,2,2,1,3,4,0,0,0,0,0,0,0,GER,42,8,92
23,1976,PhD,Married,49544.0,1,0,02-12-2013,0,308,0,73,0,0,23,2,5,1,8,7,0,0,0,0,0,0,0,SP,45,16,404
24,1969,Graduation,Single,57731.0,0,1,11/23/12,0,266,21,300,65,8,44,4,8,8,6,6,0,0,0,0,0,0,0,IND,52,26,704
25,1965,Master,Single,33168.0,0,1,10/13/12,0,80,1,37,0,1,3,3,2,1,4,7,0,0,0,0,0,0,0,SP,56,10,122
26,1956,Graduation,Married,54450.0,1,1,9/14/12,0,454,0,171,8,19,32,12,9,2,8,8,0,0,0,0,0,0,0,SP,65,31,684
27,1956,Graduation,Married,54450.0,1,1,9/14/12,0,454,0,171,8,19,32,12,9,2,8,8,0,0,0,0,0,0,0,SP,65,31,684
28,1956,PhD,Single,35340.0,1,1,6/29/14,1,27,0,12,0,1,5,2,2,0,3,5,0,0,0,0,0,0,0,SP,65,7,45
29,1975,Graduation,Single,73170.0,0,0,5/31/14,1,184,174,256,50,30,32,1,5,4,6,2,0,0,0,0,0,0,0,CA,46,16,726
30,1971,PhD,Single,65808.0,1,1,5/30/14,1,155,7,80,13,7,10,3,5,1,5,6,0,0,0,0,0,0,0,SP,50,14,272
31,1986,Graduation,Married,79529.0,0,0,4/27/14,1,423,42,706,73,197,197,1,4,8,9,2,0,0,0,0,0,0,0,CA,35,22,1638
32,1972,PhD,Married,34578.0,2,1,04-11-2014,1,7,0,1,0,0,0,1,1,0,2,6,0,0,0,0,0,0,0,AUS,49,4,8
33,1974,PhD,Married,46374.0,0,1,3/17/14,1,408,0,21,0,0,17,3,7,1,7,8,0,1,0,1,0,1,0,IND,47,18,446
34,1990,Graduation,Married,18351.0,0,0,10/29/13,1,1,12,9,0,14,7,1,2,0,3,7,0,0,0,0,0,0,0,SP,31,6,43
35,1987,PhD,Single,95169.0,0,0,10-09-2013,1,1285,21,449,106,20,20,1,4,3,4,1,0,0,1,1,0,1,0,SP,34,12,1901
36,1984,Master,Married,65370.0,0,0,08-01-2013,1,71,22,112,138,89,29,1,2,3,13,1,0,0,0,0,0,0,0,SP,37,19,461
37,1960,Master,Single,39228.0,0,0,05-10-2013,1,7,1,6,0,3,3,1,0,0,3,4,0,0,0,0,0,0,0,SA,61,4,20
38,1961,PhD,Single,84865.0,0,0,05-09-2013,1,1248,16,349,43,16,16,1,2,4,9,4,0,1,1,1,1,1,0,SP,60,16,1688
39,1968,Graduation,Married,61314.0,0,1,4/25/13,1,378,0,189,97,172,172,2,5,5,12,3,0,0,0,0,0,0,0,SP,53,24,1008
40,1972,Graduation,Single,21359.0,1,0,4/20/13,1,12,2,17,6,1,10,2,2,0,3,8,0,0,0,0,0,1,0,CA,49,7,48
41,1955,PhD,Married,66465.0,0,1,3/30/13,1,1200,0,204,38,29,14,3,11,9,12,6,0,0,0,1,0,0,0,SP,66,35,1485
42,1983,Master,Single,81698.0,0,0,03-01-2013,1,709,45,115,30,160,45,1,8,2,5,5,0,0,0,1,0,1,0,SP,38,16,1104
43,1986,Graduation,Single,39146.0,1,0,2/14/13,1,94,1,33,13,12,12,3,4,0,4,8,0,0,0,0,0,0,0,SP,35,11,165
44,1970,Master,Single,25959.0,1,1,2/14/13,1,4,2,12,7,5,26,2,1,2,2,6,0,0,0,0,0,1,0,SP,51,7,56
45,1961,Graduation,Married,64260.0,0,0,01-11-2013,1,539,169,816,20,0,30,1,4,5,4,3,0,0,0,0,0,1,0,SP,60,14,1574
46,1973,Graduation,Married,32300.0,1,0,01-03-2013,1,13,3,6,6,5,6,1,1,0,3,8,0,0,0,0,0,0,0,SP,48,5,39
47,1965,Master,Married,74806.0,0,1,12/19/12,1,670,9,249,0,28,9,2,5,4,5,4,0,0,0,0,0,0,0,AUS,56,16,965
48,1970,Graduation,Single,72967.0,0,1,12/15/12,1,158,35,179,0,0,125,2,7,2,8,5,1,0,0,0,0,1,0,GER,51,19,497
49,1960,Graduation,Single,48904.0,0,1,12-02-2012,1,283,10,38,0,13,27,4,7,2,4,8,0,0,0,0,0,0,0,US,61,17,371
50,1984,Master,Married,14796.0,1,0,9/17/12,1,13,3,8,7,4,16,2,1,0,3,9,0,0,0,0,0,1,0,GER,37,6,51
51,1954,Master,Married,66991.0,0,0,09-11-2012,1,496,36,460,189,60,12,3,4,8,6,3,0,0,0,0,0,0,0,GER,67,21,1253
52,1978,Master,Single,52195.0,2,1,05-12-2014,2,12,0,4,0,0,1,1,1,0,2,8,0,0,0,0,0,0,0,SA,43,4,17
53,1956,Graduation,Married,90369.0,0,0,4/28/14,2,292,51,981,224,23,17,1,4,6,6,1,0,0,0,0,0,1,0,SP,65,17,1588
54,1974,Basic,Married,18393.0,1,0,3/29/14,2,7,10,13,16,0,4,2,3,0,3,8,0,0,0,0,0,0,0,SP,47,8,50
55,1952,Graduation,Single,47139.0,1,1,03-06-2014,2,46,0,12,0,2,23,2,2,1,2,7,0,0,0,0,0,1,0,SP,69,7,83
56,1973,Master,Married,38576.0,0,1,03-04-2014,2,34,0,7,0,0,0,1,1,0,3,7,0,0,0,0,0,0,0,IND,48,5,41
57,1975,PhD,Married,61905.0,0,1,02-04-2014,2,167,0,43,6,2,13,2,4,2,4,5,0,0,0,0,0,0,0,SA,46,12,231
58,1962,Graduation,Married,83715.0,0,0,02-03-2014,2,318,8,407,150,35,8,1,2,8,13,0,0,0,0,0,0,0,0,SA,59,24,926
59,1964,Graduation,Married,60597.0,0,1,01-01-2014,2,522,0,257,32,16,66,4,2,2,8,7,0,0,0,1,0,1,0,SP,57,16,893
60,1982,Master,Single,6560.0,0,0,12-12-2013,2,67,11,26,4,3,262,0,1,0,1,17,0,0,0,0,0,0,0,SP,39,2,373
61,1961,Master,Married,48330.0,0,1,11/15/13,2,28,0,4,0,0,0,1,1,0,3,5,0,0,0,0,0,0,0,SP,60,5,32
62,1968,PhD,Single,38236.0,1,1,9/20/13,2,58,0,18,2,0,10,4,3,0,4,7,0,0,0,0,0,0,0,SP,53,11,88
63,1977,Master,Married,22701.0,1,0,09-05-2013,2,2,4,9,0,4,5,1,1,0,3,5,0,0,0,0,0,0,0,SP,44,5,24
64,1974,Master,Single,53367.0,1,1,8/31/13,2,229,7,140,10,3,11,7,5,1,8,7,0,0,0,0,0,1,0,AUS,47,21,400
65,1986,Graduation,Married,34728.0,1,0,7/30/13,2,14,0,16,0,0,6,1,1,1,2,6,0,0,0,0,0,1,0,SP,35,5,36
66,1956,Master,Married,63915.0,0,2,7/30/13,2,622,7,115,30,0,15,2,6,3,12,5,0,0,0,0,0,0,0,AUS,65,23,789
67,1960,Master,Married,82504.0,0,0,7/27/13,2,362,50,431,134,35,54,1,3,6,7,1,0,0,0,0,0,0,0,IND,61,17,1066
68,1972,PhD,Single,38578.0,1,1,6/22/13,2,38,4,22,3,3,3,3,3,0,3,8,0,0,0,0,0,1,0,SP,49,9,73
69,1972,PhD,Single,38578.0,1,1,6/22/13,2,38,4,22,3,3,3,3,3,0,3,8,0,0,0,0,0,0,0,SP,49,9,73
70,1975,PhD,Married,79174.0,0,0,01-11-2013,2,1074,37,518,193,92,129,1,5,6,7,2,0,0,1,1,0,1,0,CA,46,19,2043
71,1962,Master,Single,81975.0,0,1,01-05-2013,2,983,76,184,180,138,27,1,6,3,4,7,0,0,1,0,0,0,0,SA,59,14,1588
72,1977,Master,Married,43263.0,0,1,11/21/12,2,262,6,61,0,10,102,3,5,2,6,5,0,0,0,0,0,0,0,SP,44,16,441
73,1970,Graduation,Single,27242.0,1,0,11-11-2012,2,3,17,26,20,1,39,2,2,0,3,9,0,0,0,0,0,1,0,IND,51,7,106
74,1971,Graduation,Married,76445.0,1,0,9/28/12,2,739,107,309,140,80,35,1,2,5,13,6,0,0,0,0,0,0,0,SA,50,21,1410
75,1965,Graduation,Married,75276.0,0,0,9/27/12,2,610,105,125,137,42,21,1,9,4,9,5,0,0,0,0,0,0,0,SP,56,23,1040
76,1963,Graduation,Single,34213.0,1,1,09-07-2012,2,50,4,28,6,3,26,3,3,1,2,9,0,0,0,0,0,1,0,SA,58,9,117
77,1976,PhD,Married,72335.0,0,0,8/13/12,2,1285,105,653,28,21,0,1,10,4,8,8,0,0,0,0,0,1,0,SP,45,23,2092
78,1964,Master,Married,79143.0,0,0,08-11-2012,2,650,37,780,27,167,32,1,6,9,13,3,0,0,0,0,0,0,0,AUS,57,29,1693
79,1947,Graduation,Married,27469.0,0,0,08-02-2012,2,9,1,2,3,2,0,1,0,0,3,6,0,0,0,0,0,0,0,CA,74,4,17
80,1969,Graduation,Married,68695.0,0,0,6/25/14,3,458,81,356,106,50,40,1,4,4,7,2,0,0,0,0,0,0,0,SP,52,16,1091
81,1969,Graduation,Married,68695.0,0,0,6/25/14,3,458,81,356,106,50,40,1,4,4,7,2,0,0,0,0,0,0,0,CA,52,16,1091
82,1957,Graduation,Single,50388.0,0,1,5/28/14,3,292,6,37,0,3,34,4,6,1,6,7,0,1,0,1,0,1,0,GER,64,17,372
83,1970,PhD,Married,77622.0,0,2,4/14/14,3,520,7,154,19,0,14,2,6,3,11,3,0,0,0,0,0,0,0,SA,51,22,714
84,1962,Graduation,Single,46102.0,2,1,03-10-2014,3,14,0,1,0,0,1,1,1,0,2,7,0,0,0,0,0,0,0,SP,59,4,16
85,1980,Master,Single,31859.0,1,0,2/27/14,3,3,4,7,15,8,11,1,1,0,3,7,0,0,0,0,0,0,0,SP,41,5,48
86,1987,Master,Single,23830.0,0,0,02-07-2014,3,1,8,6,4,8,16,1,1,0,3,7,0,0,0,0,0,0,0,SP,34,5,43
87,1973,Graduation,Married,24639.0,1,1,1/28/14,3,20,3,16,0,4,1,3,2,0,4,6,0,0,0,0,0,0,0,AUS,48,9,44
88,1945,PhD,Married,71604.0,0,0,11/17/13,3,345,53,528,98,75,97,1,8,3,5,4,1,0,0,0,0,1,0,SP,76,17,1196
89,1984,Graduation,Married,27255.0,1,0,11-07-2013,3,22,1,11,0,1,2,1,1,0,3,7,0,0,0,0,0,0,0,SP,37,5,37
90,1977,Graduation,Married,55375.0,0,1,10/17/13,3,42,11,57,10,28,14,1,1,1,6,2,0,0,0,0,0,0,0,CA,44,9,162
91,1960,PhD,Married,77037.0,0,1,10/13/13,3,463,96,333,168,53,10,1,7,7,12,3,0,0,0,0,0,0,0,SP,61,27,1123
92,1970,Graduation,Single,24163.0,1,1,10-12-2013,3,4,1,7,2,1,2,2,1,0,3,4,0,0,0,0,0,0,0,SP,51,6,17
93,1969,PhD,Married,69476.0,0,0,9/30/13,3,260,86,559,63,9,67,1,4,6,4,2,0,0,0,0,0,0,0,US,52,15,1044
94,1979,Graduation,Married,72063.0,0,1,07-03-2013,3,180,32,348,76,32,90,2,5,2,12,2,0,0,0,0,0,0,0,GER,42,21,758
95,1962,Master,Married,58646.0,0,1,06-10-2013,3,62,1,44,6,5,22,1,2,1,4,4,0,0,0,0,0,0,0,SP,59,8,140
96,1962,Master,Married,58646.0,0,1,06-10-2013,3,62,1,44,6,5,22,1,2,1,4,4,0,0,0,0,0,0,0,GER,59,8,140
97,1949,Master,Single,47570.0,1,1,5/29/13,3,67,1,20,0,2,31,3,2,2,2,7,0,0,0,0,0,1,0,US,72,9,121
98,1980,Graduation,Married,80011.0,0,1,4/29/13,3,421,76,536,82,178,102,2,8,6,5,4,0,0,0,0,0,0,0,AUS,41,21,1395
99,1956,PhD,Single,54998.0,0,1,03-10-2013,3,154,22,202,39,30,8,5,4,2,9,4,0,0,0,0,0,1,0,SP,65,20,455
100,1948,PhD,Single,60200.0,0,1,01-02-2013,3,502,19,132,0,6,26,6,6,2,11,6,0,0,0,0,0,0,0,SP,73,25,685
101,1982,Graduation,Married,63211.0,0,0,11-02-2012,3,145,193,459,205,26,145,2,3,8,7,2,0,0,0,0,0,1,0,SP,39,20,1173
102,1973,PhD,Single,48432.0,0,1,10/18/12,3,322,3,50,4,3,42,5,7,1,6,8,0,0,0,0,0,1,0,SA,48,19,424
103,1973,PhD,Single,48432.0,0,1,10/18/12,3,322,3,50,4,3,42,5,7,1,6,8,0,0,0,0,0,0,0,CA,48,19,424
104,1973,PhD,Single,48432.0,0,1,10/18/12,3,322,3,50,4,3,42,5,7,1,6,8,0,0,0,0,0,1,0,IND,48,19,424
105,1949,Master,Married,62845.0,1,1,10-01-2012,3,1099,0,45,0,0,34,11,3,4,10,8,0,1,0,0,0,0,0,SP,72,28,1178
106,1949,Master,Married,62845.0,1,1,10-01-2012,3,1099,0,45,0,0,34,11,3,4,10,8,0,1,0,0,0,1,0,SP,72,28,1178
107,1965,PhD,Married,65220.0,0,0,09-03-2012,3,890,63,292,0,25,12,4,8,4,7,6,0,0,0,0,0,1,0,GER,56,23,1282
108,1990,PhD,Married,74214.0,0,0,8/26/12,3,863,83,547,86,99,33,1,8,2,5,5,0,0,0,0,0,0,0,SP,31,16,1711
109,1980,Master,Married,96547.0,0,0,5/23/14,4,448,21,125,52,101,62,0,7,6,8,2,1,0,1,1,0,1,0,SP,41,21,809
110,1955,Graduation,Married,53863.0,0,1,5/17/14,4,399,4,30,6,4,30,3,7,1,7,7,0,1,0,0,0,0,0,SP,66,18,473
111,1970,Graduation,Married,50447.0,2,0,4/21/14,4,85,7,24,2,3,27,1,3,1,3,6,0,0,0,0,0,0,0,IND,51,8,148
112,1953,Graduation,Married,37716.0,0,1,4/21/14,4,97,1,41,6,2,41,2,4,1,3,7,0,0,0,0,0,0,0,AUS,68,10,188
113,1982,Graduation,Married,45203.0,2,0,3/23/14,4,35,3,67,10,8,24,1,3,1,3,6,0,0,0,0,0,1,0,SA,39,8,147
114,1975,Master,Married,37368.0,1,0,12/16/13,4,3,2,11,2,2,10,1,1,0,2,6,1,0,0,0,0,0,0,SP,46,4,30
115,1955,Graduation,Married,67225.0,0,1,11/26/13,4,315,35,322,46,7,143,3,7,2,11,5,0,0,0,0,0,0,0,US,66,23,868
116,1976,Master,Married,65104.0,0,1,11/14/13,4,738,0,232,13,20,50,2,3,5,7,7,0,0,0,0,0,1,0,CA,45,17,1053
117,1976,Master,Married,65104.0,0,1,11/14/13,4,738,0,232,13,20,50,2,3,5,7,7,0,0,0,0,0,0,0,SP,45,17,1053
118,1949,Master,Married,81698.0,0,0,11-06-2013,4,179,28,520,111,123,47,1,3,8,13,1,0,0,0,0,0,1,0,SP,72,25,1008
119,1968,Graduation,Single,70566.0,0,1,10-06-2013,4,381,28,215,84,28,21,2,6,5,9,3,0,0,0,0,0,0,0,SP,53,22,757
120,1958,Graduation,Married,69096.0,0,1,9/27/13,4,247,49,159,7,82,109,1,5,2,10,4,0,0,0,0,0,0,0,GER,63,18,653
121,1962,Graduation,Married,71434.0,0,1,9/18/13,4,711,36,217,172,96,168,3,7,4,7,4,0,1,0,1,0,0,0,SP,59,21,1400
122,1978,Graduation,Married,33039.0,1,0,09-09-2013,4,30,8,12,8,8,12,1,2,0,4,5,0,0,0,0,0,0,0,SP,43,7,78
123,1978,Graduation,Married,33039.0,1,0,09-09-2013,4,30,8,12,8,8,12,1,2,0,4,5,0,0,0,0,0,0,0,CA,43,7,78
124,1958,Graduation,Married,46610.0,0,0,7/18/13,4,288,10,30,4,10,125,1,6,1,6,6,0,0,0,0,0,0,0,SP,63,14,467
125,1958,Graduation,Single,49967.0,0,1,07-08-2013,4,212,6,69,4,12,3,3,6,1,5,7,0,0,0,0,0,0,0,CA,63,15,306
126,1976,Graduation,Married,53359.0,1,1,5/27/13,4,173,4,30,3,6,41,4,5,1,4,7,0,0,0,0,0,0,0,US,45,14,257
127,1971,Master,Married,49505.0,1,1,03-05-2013,4,604,0,100,19,0,28,9,10,2,8,8,0,0,0,0,0,0,0,SP,50,29,751
128,1946,Master,Married,68657.0,0,0,2/20/13,4,482,34,471,119,68,22,1,3,5,9,7,0,0,0,0,0,0,0,AUS,75,18,1196
129,1954,Graduation,Single,72071.0,0,1,2/14/13,4,531,69,300,150,138,150,3,5,4,8,2,0,0,0,0,0,0,0,SP,67,20,1338
130,1954,Graduation,Single,72071.0,0,1,2/14/13,4,531,69,300,150,138,150,3,5,4,8,2,0,0,0,0,0,0,0,CA,67,20,1338
131,1967,Master,Single,59235.0,1,0,01-12-2013,4,448,40,469,80,0,91,3,11,2,12,7,0,0,0,0,0,0,0,IND,54,28,1128
132,1957,Graduation,Married,21994.0,0,1,12/24/12,4,9,0,6,3,1,3,1,0,0,3,5,0,0,0,0,0,0,0,AUS,64,4,22
133,1957,Graduation,Married,21994.0,0,1,12/24/12,4,9,0,6,3,1,3,1,0,0,3,5,0,0,0,0,0,0,0,SP,64,4,22
134,1957,PhD,Married,51381.5,2,1,11/19/12,4,230,42,192,49,37,53,12,7,2,8,9,0,0,0,0,0,0,0,GER,64,29,603
135,1972,Graduation,Married,69209.0,0,0,9/17/12,4,496,32,849,229,48,128,2,5,3,6,4,0,0,0,1,0,0,0,CA,49,16,1782
136,1989,Graduation,Married,31928.0,1,0,3/28/14,5,33,4,24,4,2,5,2,3,0,4,7,0,0,0,0,0,0,0,IND,32,9,72
137,1987,PhD,Single,74004.0,0,0,2/24/14,5,784,48,560,42,176,48,1,4,6,4,3,0,0,1,1,0,1,0,IND,34,15,1658
138,1987,Master,Married,30390.0,0,0,09-02-2013,5,10,12,12,25,1,20,1,2,0,3,6,0,0,0,0,0,0,0,IND,34,6,80
139,1985,Graduation,Married,21355.0,1,0,8/20/13,5,5,13,14,0,5,31,2,2,1,2,6,1,0,0,0,0,1,0,US,36,7,68
140,1969,Graduation,Married,26304.0,1,0,6/23/13,5,4,1,5,2,0,4,1,1,0,2,7,0,0,0,0,0,0,0,GER,52,4,16
141,1989,Master,Married,85710.0,0,0,05-05-2013,5,600,20,350,29,30,33,1,6,9,10,2,0,0,1,0,0,0,0,IND,32,26,1062
142,1974,Graduation,Single,102692.0,0,0,04-05-2013,5,168,148,444,32,172,148,1,6,9,13,2,0,1,1,1,1,1,0,SA,47,29,1112
143,1971,Graduation,Single,58350.0,0,1,01-04-2013,5,493,26,206,116,80,80,4,8,3,12,6,0,0,0,0,0,0,0,SP,50,27,1001
144,1978,Graduation,Single,7500.0,1,1,12/27/12,5,6,5,4,13,4,25,4,2,1,3,6,0,0,0,0,0,0,0,SP,43,10,57
145,1984,Master,Single,18890.0,0,0,11-10-2012,5,6,4,1,7,2,15,1,0,1,2,6,1,0,0,0,0,1,0,SA,37,4,35
146,1986,Basic,Married,20425.0,1,0,10/29/12,5,4,12,5,3,16,17,2,2,0,3,7,0,0,0,0,0,0,0,CA,35,7,57
147,1986,Basic,Married,20425.0,1,0,10/29/12,5,4,12,5,3,16,17,2,2,0,3,7,0,0,0,0,0,0,0,GER,35,7,57
148,1957,PhD,Single,41437.0,1,1,9/22/12,5,29,0,2,0,0,1,1,1,0,3,7,0,0,0,0,0,0,0,SP,64,5,32
149,1949,Master,Married,49912.0,0,1,09-07-2012,5,520,8,223,32,49,42,4,10,5,7,8,1,0,0,0,0,1,0,ME,72,26,874
150,1949,Master,Married,49912.0,0,1,09-07-2012,5,520,8,223,32,49,42,4,10,5,7,8,1,0,0,0,0,1,0,AUS,72,26,874
151,1959,Graduation,Married,79823.0,0,1,3/31/14,6,835,73,380,114,73,43,1,6,9,7,2,0,1,0,0,0,0,0,AUS,62,23,1518
152,1954,Graduation,Single,85683.0,0,0,3/21/14,6,1296,17,311,45,69,51,1,2,4,10,1,0,1,1,1,1,1,0,SP,67,17,1789
153,1965,PhD,Single,47025.0,1,1,02-09-2014,6,16,0,3,0,0,1,1,1,0,2,7,0,0,0,0,0,0,0,SP,56,4,20
154,1976,PhD,Married,68397.0,0,1,11/17/13,6,760,80,466,17,13,80,1,6,9,5,3,0,0,0,0,0,0,0,SA,45,21,1416
155,1984,PhD,Married,38175.0,1,0,9/23/13,6,70,6,69,2,3,3,3,3,1,4,7,0,0,0,0,0,0,0,SP,37,11,153
156,1972,Master,Single,46423.0,1,1,9/18/13,6,68,0,16,0,0,8,3,2,0,4,7,0,0,0,0,0,0,0,SP,49,9,92
157,1972,Master,Single,46423.0,1,1,9/18/13,6,68,0,16,0,0,8,3,2,0,4,7,0,0,0,0,0,0,0,SP,49,9,92
158,1976,Master,Married,30560.0,1,0,6/27/13,6,9,1,5,4,5,7,1,1,0,3,7,0,0,0,0,0,0,0,SA,45,5,31
159,1976,Master,Married,30560.0,1,0,6/27/13,6,9,1,5,4,5,7,1,1,0,3,7,0,0,0,0,0,0,0,CA,45,5,31
160,1979,Graduation,Single,60152.0,0,1,3/28/13,6,325,83,300,86,58,91,1,6,4,12,3,0,0,0,0,0,0,0,SP,42,23,943
161,1965,Graduation,Married,29672.0,1,1,03-12-2013,6,9,1,3,0,4,8,1,0,0,3,6,0,0,0,0,0,0,0,SA,56,4,25
162,1965,Graduation,Married,29672.0,1,1,03-12-2013,6,9,1,3,0,4,8,1,0,0,3,6,0,0,0,0,0,0,0,SP,56,4,25
163,1947,Graduation,Married,70321.0,0,0,1/16/13,6,303,23,751,82,26,191,1,6,5,13,4,0,0,0,0,0,1,0,SP,74,25,1376
164,1962,Graduation,Married,56181.0,0,1,01-08-2013,6,121,103,69,8,44,48,1,4,2,7,4,0,0,0,0,0,0,0,SP,59,14,393
165,1990,Basic,Married,24279.0,0,0,12/29/12,6,16,36,21,20,62,108,1,4,1,3,8,0,0,0,0,0,0,0,SP,31,9,263
166,1969,PhD,Married,68462.0,0,0,12-12-2012,6,561,64,785,84,128,48,1,3,3,8,1,0,0,0,0,0,0,0,SP,52,15,1670
167,1976,PhD,Married,55424.0,0,1,11/25/12,6,462,61,184,10,53,107,4,7,5,9,6,1,0,0,0,0,1,0,SP,45,25,877
168,1973,Graduation,Married,49094.0,0,1,9/21/12,6,376,0,38,11,8,69,5,6,3,6,6,0,0,0,0,0,0,0,SP,48,20,502
169,1961,Master,Single,59184.0,0,1,09-09-2012,6,341,142,113,259,151,66,3,6,6,12,5,0,0,0,0,0,0,0,SP,60,27,1072
170,1987,Graduation,Married,67430.0,0,0,09-05-2012,6,595,97,291,127,133,121,1,11,5,12,6,0,0,0,0,0,0,0,GER,34,29,1364
171,1960,Master,Married,30522.0,0,1,8/17/12,6,179,8,83,19,11,26,5,1,2,9,2,0,0,0,0,0,0,0,SP,61,17,326
172,1977,Master,Single,31878.0,0,1,6/22/14,7,23,4,5,10,5,23,1,1,0,4,3,0,0,0,0,0,0,0,SP,44,6,70
173,1992,Graduation,Single,83528.0,0,0,05-01-2014,7,530,117,678,134,44,147,1,4,10,8,1,1,0,0,1,0,1,0,SP,29,23,1650
174,1979,Graduation,Married,90300.0,0,0,01-03-2014,7,594,134,786,33,134,57,0,5,6,8,1,0,0,1,0,0,0,0,SP,42,19,1738
175,1978,Master,Single,68092.0,0,0,12/16/13,7,852,60,207,78,36,48,2,2,6,10,5,0,0,0,0,0,0,0,SA,43,20,1281
176,1972,Master,Married,53761.0,1,1,10-11-2013,7,158,0,76,13,7,71,6,4,4,3,5,0,0,0,0,0,0,0,AUS,49,17,325
177,1973,Graduation,Married,52845.0,1,0,8/13/13,7,384,25,292,130,41,64,3,8,8,6,6,1,0,0,0,0,0,0,SP,48,25,936
178,1976,Graduation,Married,24027.0,1,0,06-09-2013,7,14,7,11,11,0,5,2,2,0,3,8,0,0,0,0,0,0,0,SP,45,7,48
179,1979,Master,Married,7500.0,1,0,05-07-2013,7,2,8,11,3,8,21,4,3,2,2,7,0,0,0,0,0,0,0,IND,42,11,53
180,1955,Graduation,Married,42586.0,1,1,10/29/12,7,194,2,56,0,0,0,5,4,1,6,8,0,0,0,0,0,1,0,SP,66,16,252
